source,target,complex_name
BLOC1S2,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S2,BLOC1S4,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S2,BLOC1S6,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S5,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S5,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S5,BLOC1S6,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
DTNBP1,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S4,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S4,BLOC1S5,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S4,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S4,BLOC1S6,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S6,SNAPIN,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
BLOC1S6,DTNBP1,BLOC-1 (biogenesis of lysosome-related organelles complex 1)
ARPC1B,ARPC2,Arp2/3 protein complex
ARPC1B,ARPC3,Arp2/3 protein complex
ARPC1B,ARPC5,Arp2/3 protein complex
ARPC1B,ARPC4,Arp2/3 protein complex
ARPC2,ARPC3,Arp2/3 protein complex
ARPC2,ARPC5,Arp2/3 protein complex
ARPC2,ARPC4,Arp2/3 protein complex
ARPC3,ARPC5,Arp2/3 protein complex
ARPC3,ARPC4,Arp2/3 protein complex
ARPC4,ARPC5,Arp2/3 protein complex
ACTR3,ARPC1B,Arp2/3 protein complex
ACTR3,ARPC2,Arp2/3 protein complex
ACTR3,ARPC3,Arp2/3 protein complex
ACTR3,ARPC5,Arp2/3 protein complex
ACTR3,ARPC4,Arp2/3 protein complex
ACTR2,ARPC1B,Arp2/3 protein complex
ACTR2,ARPC2,Arp2/3 protein complex
ACTR2,ARPC3,Arp2/3 protein complex
ACTR2,ARPC5,Arp2/3 protein complex
ACTR2,ARPC4,Arp2/3 protein complex
ACTR2,ACTR3,Arp2/3 protein complex
PSME1,PSME2,PA28 complex
PSMD11,PSMD12,PA700 complex
PSMD11,PSMD9,PA700 complex
PSMD11,PSMD14,PA700 complex
PSMD11,PSMD3,PA700 complex
PSMD11,PSMD8,PA700 complex
PSMD11,PSMD7,PA700 complex
PSMD11,PSMD4,PA700 complex
PSMD11,PSMD2,PA700 complex
PSMD11,PSMD6,PA700 complex
PSMD11,PSMD5,PA700 complex
PSMD11,PSMD13,PA700 complex
PSMD12,PSMD9,PA700 complex
PSMD12,PSMD14,PA700 complex
PSMD12,PSMD3,PA700 complex
PSMD12,PSMD8,PA700 complex
PSMD12,PSMD7,PA700 complex
PSMD12,PSMD4,PA700 complex
PSMD12,PSMD2,PA700 complex
PSMD12,PSMD6,PA700 complex
PSMD12,PSMD5,PA700 complex
PSMD12,PSMD13,PA700 complex
PSMD14,PSMD9,PA700 complex
PSMD14,PSMD3,PA700 complex
PSMD14,PSMD8,PA700 complex
PSMD14,PSMD7,PA700 complex
PSMD14,PSMD4,PA700 complex
PSMD14,PSMD2,PA700 complex
PSMD14,PSMD6,PA700 complex
PSMD14,PSMD5,PA700 complex
PSMD3,PSMD9,PA700 complex
PSMD3,PSMD8,PA700 complex
PSMD3,PSMD7,PA700 complex
PSMD3,PSMD4,PA700 complex
PSMD3,PSMD6,PA700 complex
PSMD3,PSMD5,PA700 complex
PSMD10,PSMD11,PA700 complex
PSMD10,PSMD12,PA700 complex
PSMD10,PSMD9,PA700 complex
PSMD10,PSMD14,PA700 complex
PSMD10,PSMD3,PA700 complex
PSMD10,PSMD8,PA700 complex
PSMD10,PSMD7,PA700 complex
PSMD10,PSMD4,PA700 complex
PSMD10,PSMD2,PA700 complex
PSMD10,PSMD6,PA700 complex
PSMD10,PSMD5,PA700 complex
PSMD10,PSMD13,PA700 complex
PSMC3,PSMD11,PA700 complex
PSMC3,PSMD12,PA700 complex
PSMC3,PSMD9,PA700 complex
PSMC3,PSMD14,PA700 complex
PSMC3,PSMD3,PA700 complex
PSMC3,PSMD10,PA700 complex
PSMC3,PSMC4,PA700 complex
PSMC3,PSMD8,PA700 complex
PSMC3,PSMD7,PA700 complex
PSMC3,PSMD4,PA700 complex
PSMC3,PSMC5,PA700 complex
PSMC3,PSMC6,PA700 complex
PSMC3,PSMD2,PA700 complex
PSMC3,PSMD6,PA700 complex
PSMC3,PSMD5,PA700 complex
PSMC3,PSMD1,PA700 complex
PSMC3,PSMD13,PA700 complex
PSMC2,PSMD11,PA700 complex
PSMC2,PSMD12,PA700 complex
PSMC2,PSMD9,PA700 complex
PSMC2,PSMD14,PA700 complex
PSMC2,PSMD3,PA700 complex
PSMC2,PSMD10,PA700 complex
PSMC2,PSMC3,PA700 complex
PSMC2,PSMC4,PA700 complex
PSMC2,PSMD8,PA700 complex
PSMC2,PSMD7,PA700 complex
PSMC2,PSMD4,PA700 complex
PSMC2,PSMC5,PA700 complex
PSMC2,PSMC6,PA700 complex
PSMC2,PSMD2,PA700 complex
PSMC2,PSMD6,PA700 complex
PSMC2,PSMD5,PA700 complex
PSMC2,PSMD1,PA700 complex
PSMC2,PSMD13,PA700 complex
PSMC4,PSMD11,PA700 complex
PSMC4,PSMD12,PA700 complex
PSMC4,PSMD9,PA700 complex
PSMC4,PSMD14,PA700 complex
PSMC4,PSMD3,PA700 complex
PSMC4,PSMD10,PA700 complex
PSMC4,PSMD8,PA700 complex
PSMC4,PSMD7,PA700 complex
PSMC4,PSMD4,PA700 complex
PSMC4,PSMC5,PA700 complex
PSMC4,PSMC6,PA700 complex
PSMC4,PSMD2,PA700 complex
PSMC4,PSMD6,PA700 complex
PSMC4,PSMD5,PA700 complex
PSMC4,PSMD1,PA700 complex
PSMC4,PSMD13,PA700 complex
PSMD8,PSMD9,PA700 complex
PSMD7,PSMD9,PA700 complex
PSMD7,PSMD8,PA700 complex
PSMD4,PSMD9,PA700 complex
PSMD4,PSMD8,PA700 complex
PSMD4,PSMD7,PA700 complex
PSMD4,PSMD6,PA700 complex
PSMD4,PSMD5,PA700 complex
PSMC1,PSMD11,PA700 complex
PSMC1,PSMD12,PA700 complex
PSMC1,PSMD9,PA700 complex
PSMC1,PSMD14,PA700 complex
PSMC1,PSMD3,PA700 complex
PSMC1,PSMD10,PA700 complex
PSMC1,PSMC3,PA700 complex
PSMC1,PSMC2,PA700 complex
PSMC1,PSMC4,PA700 complex
PSMC1,PSMD8,PA700 complex
PSMC1,PSMD7,PA700 complex
PSMC1,PSMD4,PA700 complex
PSMC1,PSMC5,PA700 complex
PSMC1,PSMC6,PA700 complex
PSMC1,PSMD2,PA700 complex
PSMC1,PSMD6,PA700 complex
PSMC1,PSMD5,PA700 complex
PSMC1,PSMD1,PA700 complex
PSMC1,PSMD13,PA700 complex
PSMC5,PSMD11,PA700 complex
PSMC5,PSMD12,PA700 complex
PSMC5,PSMD9,PA700 complex
PSMC5,PSMD14,PA700 complex
PSMC5,PSMD3,PA700 complex
PSMC5,PSMD10,PA700 complex
PSMC5,PSMD8,PA700 complex
PSMC5,PSMD7,PA700 complex
PSMC5,PSMD4,PA700 complex
PSMC5,PSMC6,PA700 complex
PSMC5,PSMD2,PA700 complex
PSMC5,PSMD6,PA700 complex
PSMC5,PSMD5,PA700 complex
PSMC5,PSMD1,PA700 complex
PSMC5,PSMD13,PA700 complex
PSMC6,PSMD11,PA700 complex
PSMC6,PSMD12,PA700 complex
PSMC6,PSMD9,PA700 complex
PSMC6,PSMD14,PA700 complex
PSMC6,PSMD3,PA700 complex
PSMC6,PSMD10,PA700 complex
PSMC6,PSMD8,PA700 complex
PSMC6,PSMD7,PA700 complex
PSMC6,PSMD4,PA700 complex
PSMC6,PSMD2,PA700 complex
PSMC6,PSMD6,PA700 complex
PSMC6,PSMD5,PA700 complex
PSMC6,PSMD1,PA700 complex
PSMC6,PSMD13,PA700 complex
PSMD2,PSMD9,PA700 complex
PSMD2,PSMD3,PA700 complex
PSMD2,PSMD8,PA700 complex
PSMD2,PSMD7,PA700 complex
PSMD2,PSMD4,PA700 complex
PSMD2,PSMD6,PA700 complex
PSMD2,PSMD5,PA700 complex
PSMD6,PSMD9,PA700 complex
PSMD6,PSMD8,PA700 complex
PSMD6,PSMD7,PA700 complex
PSMD5,PSMD9,PA700 complex
PSMD5,PSMD8,PA700 complex
PSMD5,PSMD7,PA700 complex
PSMD5,PSMD6,PA700 complex
PSMD1,PSMD11,PA700 complex
PSMD1,PSMD12,PA700 complex
PSMD1,PSMD9,PA700 complex
PSMD1,PSMD14,PA700 complex
PSMD1,PSMD3,PA700 complex
PSMD1,PSMD10,PA700 complex
PSMD1,PSMD8,PA700 complex
PSMD1,PSMD7,PA700 complex
PSMD1,PSMD4,PA700 complex
PSMD1,PSMD2,PA700 complex
PSMD1,PSMD6,PA700 complex
PSMD1,PSMD5,PA700 complex
PSMD1,PSMD13,PA700 complex
PSMD13,PSMD9,PA700 complex
PSMD13,PSMD14,PA700 complex
PSMD13,PSMD3,PA700 complex
PSMD13,PSMD8,PA700 complex
PSMD13,PSMD7,PA700 complex
PSMD13,PSMD4,PA700 complex
PSMD13,PSMD2,PA700 complex
PSMD13,PSMD6,PA700 complex
PSMD13,PSMD5,PA700 complex
PFDN6,VBP1,Prefoldin complex
PFDN1,PFDN6,Prefoldin complex
PFDN1,VBP1,Prefoldin complex
PFDN1,PFDN5,Prefoldin complex
PFDN1,PFDN4,Prefoldin complex
PFDN1,PFDN2,Prefoldin complex
PFDN5,PFDN6,Prefoldin complex
PFDN5,VBP1,Prefoldin complex
PFDN4,PFDN6,Prefoldin complex
PFDN4,VBP1,Prefoldin complex
PFDN4,PFDN5,Prefoldin complex
PFDN2,PFDN6,Prefoldin complex
PFDN2,VBP1,Prefoldin complex
PFDN2,PFDN5,Prefoldin complex
PFDN2,PFDN4,Prefoldin complex
AP1G1,AP1G2,AP1 adaptor complex
AP1G1,AP1S2,AP1 adaptor complex
AP1G1,AP1S1,AP1 adaptor complex
AP1G1,AP1S3,AP1 adaptor complex
AP1G1,AP1M1,AP1 adaptor complex
AP1G1,AP1M2,AP1 adaptor complex
AP1G2,AP1S2,AP1 adaptor complex
AP1G2,AP1S1,AP1 adaptor complex
AP1G2,AP1S3,AP1 adaptor complex
AP1G2,AP1M1,AP1 adaptor complex
AP1G2,AP1M2,AP1 adaptor complex
AP1S2,AP1S3,AP1 adaptor complex
AP1S1,AP1S2,AP1 adaptor complex
AP1S1,AP1S3,AP1 adaptor complex
AP1B1,AP1G1,AP1 adaptor complex
AP1B1,AP1G2,AP1 adaptor complex
AP1B1,AP1S2,AP1 adaptor complex
AP1B1,AP1S1,AP1 adaptor complex
AP1B1,AP1S3,AP1 adaptor complex
AP1B1,AP1M1,AP1 adaptor complex
AP1B1,AP1M2,AP1 adaptor complex
AP1M1,AP1S2,AP1 adaptor complex
AP1M1,AP1S1,AP1 adaptor complex
AP1M1,AP1S3,AP1 adaptor complex
AP1M1,AP1M2,AP1 adaptor complex
AP1M2,AP1S2,AP1 adaptor complex
AP1M2,AP1S1,AP1 adaptor complex
AP1M2,AP1S3,AP1 adaptor complex
MTA2,MTA3,Mi-2/NuRD-MTA3 complex
MBD3,MTA2,Mi-2/NuRD-MTA3 complex
MBD3,MTA3,Mi-2/NuRD-MTA3 complex
BCL6,MTA2,Mi-2/NuRD-MTA3 complex
BCL6,MBD3,Mi-2/NuRD-MTA3 complex
BCL6,HDAC1,Mi-2/NuRD-MTA3 complex
BCL6,MTA3,Mi-2/NuRD-MTA3 complex
HDAC1,MTA2,Mi-2/NuRD-MTA3 complex
HDAC1,MBD3,Mi-2/NuRD-MTA3 complex
HDAC1,MTA3,Mi-2/NuRD-MTA3 complex
PSEN1,PSENEN,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
NCSTN,PSEN1,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
NCSTN,PSENEN,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
APH1A,PSEN1,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
APH1A,NCSTN,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
APH1A,PSENEN,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
Ap2a2,Ap2s1,AP2 adaptor complex
Ap2a2,AP2B1,AP2 adaptor complex
Ap2a2,Ap2m1,AP2 adaptor complex
AP2B1,Ap2s1,AP2 adaptor complex
AP2B1,Ap2m1,AP2 adaptor complex
Ap2m1,Ap2s1,AP2 adaptor complex
SMARCA5,SMC2,DNMT3B complex
SMARCA5,SMC4,DNMT3B complex
KIF4A,SMARCA5,DNMT3B complex
KIF4A,SMC2,DNMT3B complex
KIF4A,SIN3A,DNMT3B complex
KIF4A,SMC4,DNMT3B complex
SMC2,SMC4,DNMT3B complex
HDAC1,SMARCA5,DNMT3B complex
HDAC1,KIF4A,DNMT3B complex
HDAC1,SMC2,DNMT3B complex
HDAC1,SIN3A,DNMT3B complex
HDAC1,SMC4,DNMT3B complex
SIN3A,SMARCA5,DNMT3B complex
SIN3A,SMC2,DNMT3B complex
SIN3A,SMC4,DNMT3B complex
DNMT3B,SMARCA5,DNMT3B complex
DNMT3B,KIF4A,DNMT3B complex
DNMT3B,SMC2,DNMT3B complex
DNMT3B,HDAC1,DNMT3B complex
DNMT3B,SIN3A,DNMT3B complex
DNMT3B,SMC4,DNMT3B complex
RAB5A,RABEP1,RAB5-RABAPTIN5\u2013RABEX5 complex
RAB5A,RABGEF1,RAB5-RABAPTIN5\u2013RABEX5 complex
RABEP1,RABGEF1,RAB5-RABAPTIN5\u2013RABEX5 complex
SAP18,SAP30,SIN3 complex
SAP18,SIN3A,SIN3 complex
SAP30,SIN3A,SIN3 complex
RBBP4,SAP18,SIN3 complex
RBBP4,SAP30,SIN3 complex
RBBP4,RBBP7,SIN3 complex
RBBP4,SIN3A,SIN3 complex
HDAC1,SAP18,SIN3 complex
HDAC1,SAP30,SIN3 complex
HDAC1,RBBP4,SIN3 complex
HDAC1,RBBP7,SIN3 complex
HDAC1,HDAC2,SIN3 complex
HDAC1,SIN3A,SIN3 complex
RBBP7,SAP18,SIN3 complex
RBBP7,SAP30,SIN3 complex
RBBP7,SIN3A,SIN3 complex
HDAC2,SAP18,SIN3 complex
HDAC2,SAP30,SIN3 complex
HDAC2,RBBP4,SIN3 complex
HDAC2,RBBP7,SIN3 complex
HDAC2,SIN3A,SIN3 complex
HDAC4,MAPK3,HDAC4-ERK1 complex
HDAC4,MAPK1,HDAC4-ERK2 complex
HDAC3,TBL1X,SMRT complex
HDAC3,TBL1XR1,SMRT complex
HDAC3,NCOR2,SMRT complex
TBL1X,TBL1XR1,SMRT complex
GPS2,HDAC3,SMRT complex
GPS2,TBL1X,SMRT complex
GPS2,TBL1XR1,SMRT complex
GPS2,NCOR2,SMRT complex
NCOR2,TBL1X,SMRT complex
NCOR2,TBL1XR1,SMRT complex
AP3B1,AP3D1,AP3 adaptor complex
AP3B1,AP3M2,AP3 adaptor complex
AP3B1,AP3S2,AP3 adaptor complex
AP3B1,AP3B2,AP3 adaptor complex
AP3B1,AP3S1,AP3 adaptor complex
AP3B1,AP3M1,AP3 adaptor complex
AP3D1,AP3M2,AP3 adaptor complex
AP3D1,AP3S2,AP3 adaptor complex
AP3D1,AP3S1,AP3 adaptor complex
AP3D1,AP3M1,AP3 adaptor complex
AP3M2,AP3S2,AP3 adaptor complex
AP3M2,AP3S1,AP3 adaptor complex
AP3B2,AP3D1,AP3 adaptor complex
AP3B2,AP3M2,AP3 adaptor complex
AP3B2,AP3S2,AP3 adaptor complex
AP3B2,AP3S1,AP3 adaptor complex
AP3B2,AP3M1,AP3 adaptor complex
AP3S1,AP3S2,AP3 adaptor complex
AP3M1,AP3M2,AP3 adaptor complex
AP3M1,AP3S2,AP3 adaptor complex
AP3M1,AP3S1,AP3 adaptor complex
STAT1,STAT2,Interferon-stimulated gene factor 3 transcription complex ISGF3
IRF9,STAT1,Interferon-stimulated gene factor 3 transcription complex ISGF3
IRF9,STAT2,Interferon-stimulated gene factor 3 transcription complex ISGF3
MTA2,RBBP4,Mi2/NuRD complex
MTA2,RBBP7,Mi2/NuRD complex
MBD3,MTA2,Mi2/NuRD complex
MBD3,RBBP4,Mi2/NuRD complex
MBD3,RBBP7,Mi2/NuRD complex
RBBP4,RBBP7,Mi2/NuRD complex
HDAC1,MTA2,Mi2/NuRD complex
HDAC1,MBD3,Mi2/NuRD complex
HDAC1,RBBP4,Mi2/NuRD complex
HDAC1,RBBP7,Mi2/NuRD complex
HDAC1,HDAC2,Mi2/NuRD complex
CHD4,MTA2,Mi2/NuRD complex
CHD4,MBD3,Mi2/NuRD complex
CHD4,RBBP4,Mi2/NuRD complex
CHD4,HDAC1,Mi2/NuRD complex
CHD4,RBBP7,Mi2/NuRD complex
CHD4,HDAC2,Mi2/NuRD complex
HDAC2,MTA2,Mi2/NuRD complex
HDAC2,MBD3,Mi2/NuRD complex
HDAC2,RBBP4,Mi2/NuRD complex
HDAC2,RBBP7,Mi2/NuRD complex
MTA2,RBBP4,MeCP1 complex
MTA2,RBBP7,MeCP1 complex
MBD3,MTA2,MeCP1 complex
MBD3,RBBP4,MeCP1 complex
MBD3,RBBP7,MeCP1 complex
RBBP4,RBBP7,MeCP1 complex
HDAC1,MTA2,MeCP1 complex
HDAC1,MBD3,MeCP1 complex
HDAC1,RBBP4,MeCP1 complex
HDAC1,RBBP7,MeCP1 complex
HDAC1,HDAC2,MeCP1 complex
HDAC1,MBD2,MeCP1 complex
CHD4,MTA2,MeCP1 complex
CHD4,MBD3,MeCP1 complex
CHD4,RBBP4,MeCP1 complex
CHD4,HDAC1,MeCP1 complex
CHD4,RBBP7,MeCP1 complex
CHD4,HDAC2,MeCP1 complex
CHD4,MBD2,MeCP1 complex
HDAC2,MTA2,MeCP1 complex
HDAC2,MBD3,MeCP1 complex
HDAC2,RBBP4,MeCP1 complex
HDAC2,RBBP7,MeCP1 complex
HDAC2,MBD2,MeCP1 complex
MBD2,MTA2,MeCP1 complex
MBD2,MBD3,MeCP1 complex
MBD2,RBBP4,MeCP1 complex
MBD2,RBBP7,MeCP1 complex
RAD21,SMC1A,Cohesin-SA1 complex
RAD21,STAG1,Cohesin-SA1 complex
RAD21,SMC3,Cohesin-SA1 complex
SMC1A,STAG1,Cohesin-SA1 complex
SMC1A,SMC3,Cohesin-SA1 complex
SMC3,STAG1,Cohesin-SA1 complex
RAD21,SMC1A,Cohesin-SA2 complex
RAD21,STAG2,Cohesin-SA2 complex
RAD21,SMC3,Cohesin-SA2 complex
SMC1A,STAG2,Cohesin-SA2 complex
SMC1A,SMC3,Cohesin-SA2 complex
SMC3,STAG2,Cohesin-SA2 complex
MED14,MED24,TRAP complex
MED14,THRA,TRAP complex
MED14,MED17,TRAP complex
MED14,THRAP3,TRAP complex
MED14,MED16,TRAP complex
MED24,THRA,TRAP complex
MED24,THRAP3,TRAP complex
THRA,THRAP3,TRAP complex
MED1,MED14,TRAP complex
MED1,MED24,TRAP complex
MED1,THRA,TRAP complex
MED1,MED12,TRAP complex
MED1,MED17,TRAP complex
MED1,THRAP3,TRAP complex
MED1,MED16,TRAP complex
MED12,MED14,TRAP complex
MED12,MED24,TRAP complex
MED12,THRA,TRAP complex
MED12,MED17,TRAP complex
MED12,THRAP3,TRAP complex
MED12,MED16,TRAP complex
MED17,MED24,TRAP complex
MED17,THRA,TRAP complex
MED17,THRAP3,TRAP complex
MED16,MED24,TRAP complex
MED16,THRA,TRAP complex
MED16,MED17,TRAP complex
MED16,THRAP3,TRAP complex
AP4M1,AP4S1,AP4 adaptor complex
AP4E1,AP4M1,AP4 adaptor complex
AP4E1,AP4S1,AP4 adaptor complex
AP4B1,AP4M1,AP4 adaptor complex
AP4B1,AP4E1,AP4 adaptor complex
AP4B1,AP4S1,AP4 adaptor complex
RAD51B,RAD51C,BCDX2 complex
RAD51B,XRCC2,BCDX2 complex
RAD51B,RAD51D,BCDX2 complex
RAD51C,XRCC2,BCDX2 complex
RAD51C,RAD51D,BCDX2 complex
RAD51D,XRCC2,BCDX2 complex
NBN,RAD50,MRN complex (MRE11-RAD50-NBN complex)
MRE11A,NBN,MRN complex (MRE11-RAD50-NBN complex)
MRE11A,RAD50,MRN complex (MRE11-RAD50-NBN complex)
MRE11A,RAD50,R/M complex (RAD50-MRE11 complex)
ITPR3,TRPC1,HOMER3-IP3R-TRPC1 complex
HOMER3,TRPC1,HOMER3-IP3R-TRPC1 complex
HOMER3,ITPR3,HOMER3-IP3R-TRPC1 complex
TSC1,TSC2,TSC1-TSC2 complex
RBX1,SKP1,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
RBX1,SKP2,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
SKP1,SKP2,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
CUL1,RBX1,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
CUL1,SKP1,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
CUL1,SKP2,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"
RBX1,SKP1,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
CUL7,RBX1,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
CUL7,SKP1,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
CUL7,FBXW8,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
FBXW8,RBX1,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
FBXW8,SKP1,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
ARID1A,SMARCA4,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SMARCB1,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,CARM1,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SMARCC1,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
ARID1A,SCYL1,NUMAC complex (nucleosomal methylation activator complex)
SMARCA4,SMARCB1,NUMAC complex (nucleosomal methylation activator complex)
SMARCA4,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
SMARCA4,SMARCC1,NUMAC complex (nucleosomal methylation activator complex)
SMARCA4,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
SMARCA4,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,ARID1A,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCA4,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCB1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,CARM1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCC1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
ACTB,SCYL1,NUMAC complex (nucleosomal methylation activator complex)
SMARCB1,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
SMARCB1,SMARCC1,NUMAC complex (nucleosomal methylation activator complex)
SMARCB1,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
SMARCB1,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCA4,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCB1,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCC1,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
CARM1,SCYL1,NUMAC complex (nucleosomal methylation activator complex)
SMARCC2,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
SMARCC2,SMARCD1,NUMAC complex (nucleosomal methylation activator complex)
SMARCC1,SMARCC2,NUMAC complex (nucleosomal methylation activator complex)
SMARCC1,SMARCE1,NUMAC complex (nucleosomal methylation activator complex)
