domain,total_domain_protein_count,groups,group_count,average_domain_protein_count_per_group,mean_coverage,std_coverage
"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain",4,69; 125; 126; 146,4,1.0,0.15753968253968254,0.22892251475698194
"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2",1,69,1,1.0,0.027777777777777776,0.0
"Alanine-tRNA ligase, class IIc",1,114,1,1.0,0.07142857142857142,0.0
"Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily",1,114,1,1.0,0.07142857142857142,0.0
"Alanine-tRNA ligase, eukaryota/bacteria",1,114,1,1.0,0.07142857142857142,0.0
"Alanyl-tRNA synthetase, class IIc, N-terminal",1,114,1,1.0,0.07142857142857142,0.0
"Alanyl-tRNA synthetase, class IIc, core domain",1,114,1,1.0,0.07142857142857142,0.0
"Alcohol dehydrogenase-like, C-terminal",1,220,1,1.0,0.04,0.0
"Alcohol dehydrogenase-like, N-terminal",1,171,1,1.0,0.16666666666666666,0.0
Aldehyde dehydrogenase NAD(P)-dependent,2,47; 91,2,1.0,0.04304029304029304,0.006475336824052629
