group,group_protein_count,domain,total_domain_protein_count,domain_protein_in_group_count,coverage_of_domain_proteins_in_group,representation_of_total_domain_proteins
2,6,"Peptidase T1A, proteasome beta-subunit",1,1,0.16666666666666666,1.0
2,6,Proteasome B-type subunit,2,1,0.16666666666666666,0.5
2,6,"Proteasome beta-type subunit, conserved site",2,1,0.16666666666666666,0.5
2,6,"Proteasome, subunit alpha/beta",4,1,0.16666666666666666,0.25
2,6,"Protein O-mannosyl-transferase TMTC, DUF1736",1,1,0.16666666666666666,1.0
2,6,Small GTP-binding protein domain,67,1,0.16666666666666666,0.014925373134328358
2,6,Small GTPase,49,1,0.16666666666666666,0.02040816326530612
2,6,Small GTPase Rho,6,1,0.16666666666666666,0.16666666666666666
2,6,Tetratricopeptide repeat,14,1,0.16666666666666666,0.07142857142857142
2,6,Tetratricopeptide-like helical domain superfamily,46,1,0.16666666666666666,0.021739130434782608
2,6,Tricarboxylate/iron carrier,5,1,0.16666666666666666,0.2
2,6,"Zinc finger, CCCH-type",8,1,0.16666666666666666,0.125
2,6,"Zinc finger, CCCH-type superfamily",3,1,0.16666666666666666,0.3333333333333333
3,25,"Anthrax toxin receptor, C-terminal",1,1,0.04,1.0
3,25,"Anthrax toxin receptor, extracellular domain",1,1,0.04,1.0
3,25,DNA polymerase V/Myb-binding protein 1A,3,1,0.04,0.3333333333333333
3,25,"Exoribonuclease, PH domain 2 superfamily",4,1,0.04,0.25
3,25,"Exoribonuclease, phosphorolytic domain 1",4,1,0.04,0.25
3,25,"Exoribonuclease, phosphorolytic domain 2",4,1,0.04,0.25
3,25,Exosome complex component Rrp43,1,1,0.04,1.0
3,25,K Homology domain,21,1,0.04,0.047619047619047616
3,25,"K Homology domain, type 1",21,1,0.04,0.047619047619047616
3,25,"K Homology domain, type 1 superfamily",22,1,0.04,0.045454545454545456
3,25,Large ribosomal subunit protein eL18,5,1,0.04,0.2
3,25,"Large ribosomal subunit protein eL18, conserved site",5,1,0.04,0.2
3,25,Large ribosomal subunit protein eL20,3,1,0.04,0.3333333333333333
3,25,Large ribosomal subunit protein eL20 domain,3,1,0.04,0.3333333333333333
3,25,"Large ribosomal subunit protein eL20, eukaryotes",3,1,0.04,0.3333333333333333
3,25,Large ribosomal subunit protein eL30,1,1,0.04,1.0
3,25,"Large ribosomal subunit protein eL30, conserved site",1,1,0.04,1.0
3,25,Large ribosomal subunit protein eL30-like,1,1,0.04,1.0
3,25,Large ribosomal subunit protein eL32,1,1,0.04,1.0
3,25,Large ribosomal subunit protein eL32 superfamily,1,1,0.04,1.0
3,25,"Large ribosomal subunit protein eL32, conserved site",1,1,0.04,1.0
3,25,Large ribosomal subunit protein eL36,5,1,0.04,0.2
3,25,Large ribosomal subunit protein eL36 domain superfamily,5,1,0.04,0.2
3,25,Large ribosomal subunit protein eL8,6,1,0.04,0.16666666666666666
3,25,"Large ribosomal subunit protein eL8-like, conserved site",7,1,0.04,0.14285714285714285
3,25,Large ribosomal subunit protein uL15/eL18,10,1,0.04,0.1
3,25,Large ribosomal subunit protein uL15/eL18 superfamily,10,1,0.04,0.1
3,25,Large ribosomal subunit protein uL22,2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL22, conserved site",1,1,0.04,1.0
3,25,"Large ribosomal subunit protein uL22, eukaryotic/archaeal",1,1,0.04,1.0
3,25,Large ribosomal subunit protein uL3,2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL3, archaeal/eukaryotic-type",1,1,0.04,1.0
3,25,"Large ribosomal subunit protein uL3, conserved site",2,1,0.04,0.5
3,25,Large ribosomal subunit protein uL30,2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30, N-terminal, eukaryotes",2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30, conserved site",2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30, eukaryotic",2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30, eukaryotic/archaeal",2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30, ferredoxin-like fold domain superfamily",2,1,0.04,0.5
3,25,"Large ribosomal subunit protein uL30-like, ferredoxin-like fold domain",2,1,0.04,0.5
3,25,Large ribosomal subunit protein uL4,4,1,0.04,0.25
3,25,Large ribosomal subunit protein uL4 domain superfamily,4,1,0.04,0.25
3,25,"Large ribosomal subunit protein uL4, C-terminal domain",3,1,0.04,0.3333333333333333
3,25,"Large ribosomal subunit protein uL4, eukaryotic and archaeal type",3,1,0.04,0.3333333333333333
3,25,"Large ribosomal subunit protein uL4, eukaryotic/archaeal, conserved site",3,1,0.04,0.3333333333333333
3,25,Linker histone H1/H5,8,1,0.04,0.125
3,25,Nucleotide-binding alpha-beta plait domain superfamily,126,1,0.04,0.007936507936507936
3,25,PHF5-like,1,1,0.04,1.0
3,25,PNPase/RNase PH domain superfamily,4,1,0.04,0.25
3,25,Protein LYRIC,3,1,0.04,0.3333333333333333
3,25,Protein kinase domain,32,1,0.04,0.03125
3,25,"Protein kinase, ATP binding site",27,1,0.04,0.037037037037037035
3,25,Protein kinase-like domain superfamily,40,1,0.04,0.025
3,25,RNA recognition motif domain,117,1,0.04,0.008547008547008548
3,25,RNA-binding S4 domain,2,1,0.04,0.5
3,25,RNA-binding S4 domain superfamily,2,1,0.04,0.5
3,25,RNA-binding domain superfamily,127,1,0.04,0.007874015748031496
3,25,Ribosomal RNA processing protein 1,3,1,0.04,0.3333333333333333
3,25,"Ribosomal RNA-processing protein 12-like, conserved domain",2,1,0.04,0.5
3,25,"Ribosomal protein L3, domain 3, archaeal-type superfamily",1,1,0.04,1.0
3,25,Ribosomal protein eL8/Nhp2 family,8,1,0.04,0.125
3,25,Ribosomal protein uL22 superfamily,2,1,0.04,0.5
3,25,Ribosomal protein uS5 domain 2-type superfamily,21,1,0.04,0.047619047619047616
3,25,"Serine/threonine-protein kinase, active site",21,1,0.04,0.047619047619047616
3,25,Small ribosomal subunit protein mS34,4,1,0.04,0.25
3,25,Small ribosomal subunit protein uS4,1,1,0.04,1.0
3,25,"Small ribosomal subunit protein uS4, N-terminal",1,1,0.04,1.0
3,25,"Small ribosomal subunit protein uS4, conserved site",1,1,0.04,1.0
3,25,"Small ribosomal subunit protein uS4, eukaryotic/archaeal",1,1,0.04,1.0
3,25,TFIIS/LEDGF domain superfamily,7,1,0.04,0.14285714285714285
3,25,"Transcription elongation factor, TFIIS/CRSP70, N-terminal, sub-type",1,1,0.04,1.0
3,25,"Transcription factor IIS, N-terminal",3,1,0.04,0.3333333333333333
3,25,"Translation protein, beta-barrel domain superfamily",14,1,0.04,0.07142857142857142
3,25,"Zinc finger, CCCH-type",8,1,0.04,0.125
3,25,"Zinc finger, CCCH-type superfamily",3,1,0.04,0.3333333333333333
3,25,"Zinc finger, CCHC-type",8,1,0.04,0.125
3,25,"Zinc finger, CCHC-type superfamily",4,1,0.04,0.25
3,25,von Willebrand factor A-like domain superfamily,29,1,0.04,0.034482758620689655
3,25,"von Willebrand factor, type A",18,1,0.04,0.05555555555555555
3,25,Armadillo-like helical,63,2,0.08,0.031746031746031744
3,25,Armadillo-type fold,84,2,0.08,0.023809523809523808
3,25,"Linker histone H1/H5, domain H15",13,2,0.08,0.15384615384615385
3,25,Ribosomal protein eL30-like superfamily,12,2,0.08,0.16666666666666666
3,25,Ribosomal protein eL8/eL30/eS12/Gadd45,12,2,0.08,0.16666666666666666
3,25,Winged helix DNA-binding domain superfamily,37,2,0.08,0.05405405405405406
3,25,Winged helix-like DNA-binding domain superfamily,39,2,0.08,0.05128205128205128
4,3,Large ribosomal subunit protein eL18,5,1,0.3333333333333333,0.2
4,3,"Large ribosomal subunit protein eL18, conserved site",5,1,0.3333333333333333,0.2
4,3,Large ribosomal subunit protein eL8,6,1,0.3333333333333333,0.16666666666666666
4,3,"Large ribosomal subunit protein eL8-like, conserved site",7,1,0.3333333333333333,0.14285714285714285
4,3,Large ribosomal subunit protein uL15/eL18,10,1,0.3333333333333333,0.1
4,3,Large ribosomal subunit protein uL15/eL18 superfamily,10,1,0.3333333333333333,0.1
4,3,Linker histone H1/H5,8,1,0.3333333333333333,0.125
4,3,"Linker histone H1/H5, domain H15",13,1,0.3333333333333333,0.07692307692307693
4,3,Ribosomal protein eL30-like superfamily,12,1,0.3333333333333333,0.08333333333333333
4,3,Ribosomal protein eL8/Nhp2 family,8,1,0.3333333333333333,0.125
4,3,Ribosomal protein eL8/eL30/eS12/Gadd45,12,1,0.3333333333333333,0.08333333333333333
4,3,Winged helix DNA-binding domain superfamily,37,1,0.3333333333333333,0.02702702702702703
4,3,Winged helix-like DNA-binding domain superfamily,39,1,0.3333333333333333,0.02564102564102564
5,2,Armadillo-like helical,63,1,0.5,0.015873015873015872
5,2,Armadillo-type fold,84,1,0.5,0.011904761904761904
5,2,DNA polymerase V/Myb-binding protein 1A,3,1,0.5,0.3333333333333333
5,2,Linker histone H1/H5,8,1,0.5,0.125
5,2,"Linker histone H1/H5, domain H15",13,1,0.5,0.07692307692307693
5,2,Winged helix DNA-binding domain superfamily,37,1,0.5,0.02702702702702703
5,2,Winged helix-like DNA-binding domain superfamily,39,1,0.5,0.02564102564102564
6,11,14-3-3 domain,7,1,0.09090909090909091,0.14285714285714285
6,11,14-3-3 domain superfamily,7,1,0.09090909090909091,0.14285714285714285
6,11,14-3-3 protein,7,1,0.09090909090909091,0.14285714285714285
6,11,"14-3-3 protein, conserved site",7,1,0.09090909090909091,0.14285714285714285
6,11,"Aminoacyl-tRNA synthetase, class I, anticodon-binding",1,1,0.09090909090909091,1.0
6,11,"Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2",1,1,0.09090909090909091,1.0
6,11,"Aminoacyl-tRNA synthetase, class I, anticodon-binding superfamily",1,1,0.09090909090909091,1.0
6,11,"Aminoacyl-tRNA synthetase, class I, conserved site",13,1,0.09090909090909091,0.07692307692307693
6,11,"Aminopeptidase N-like , N-terminal domain",2,1,0.09090909090909091,0.5
6,11,"Aminopeptidase N-like , N-terminal domain superfamliy",2,1,0.09090909090909091,0.5
6,11,Aminopeptidase N-type,2,1,0.09090909090909091,0.5
6,11,Ankyrin repeat,16,1,0.09090909090909091,0.0625
6,11,Ankyrin repeat-containing domain superfamily,17,1,0.09090909090909091,0.058823529411764705
6,11,BRI3-binding protein,1,1,0.09090909090909091,1.0
6,11,Band 4.1 domain,7,1,0.09090909090909091,0.14285714285714285
6,11,"Band 4.1, C-terminal",2,1,0.09090909090909091,0.5
6,11,"Ca2+-activated K+ channel Slowpoke-like, C-terminal domain",1,1,0.09090909090909091,1.0
6,11,"Calcium-activated potassium channel BK, alpha subunit",1,1,0.09090909090909091,1.0
6,11,Calcium-activated potassium channel slowpoke-like,1,1,0.09090909090909091,1.0
6,11,ERAP1-like C-terminal domain,2,1,0.09090909090909091,0.5
6,11,Ephrin receptor ligand binding domain,2,1,0.09090909090909091,0.5
6,11,Ephrin receptor type-A /type-B,2,1,0.09090909090909091,0.5
6,11,"Ephrin receptor, transmembrane domain",2,1,0.09090909090909091,0.5
6,11,"Ephrin type-A receptor 2, ligand binding domain",1,1,0.09090909090909091,1.0
6,11,Ezrin/radixin/moesin-like,4,1,0.09090909090909091,0.25
6,11,FERM adjacent,2,1,0.09090909090909091,0.5
6,11,FERM central domain,7,1,0.09090909090909091,0.14285714285714285
6,11,FERM conserved site,5,1,0.09090909090909091,0.2
6,11,FERM domain,7,1,0.09090909090909091,0.14285714285714285
6,11,"FERM superfamily, second domain",7,1,0.09090909090909091,0.14285714285714285
6,11,"FERM, C-terminal PH-like domain",5,1,0.09090909090909091,0.2
6,11,"FERM, N-terminal",5,1,0.09090909090909091,0.2
6,11,FERM/acyl-CoA-binding protein superfamily,11,1,0.09090909090909091,0.09090909090909091
6,11,Fibronectin type III,17,1,0.09090909090909091,0.058823529411764705
6,11,Fibronectin type III superfamily,17,1,0.09090909090909091,0.058823529411764705
6,11,Galactose-binding-like domain superfamily,8,1,0.09090909090909091,0.125
6,11,"Glutamate-tRNA ligase, bacterial/mitochondrial",1,1,0.09090909090909091,1.0
6,11,Glutamyl-tRNA synthetase,1,1,0.09090909090909091,1.0
6,11,Glutamyl/glutaminyl-tRNA synthetase,3,1,0.09090909090909091,0.3333333333333333
6,11,"Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain",3,1,0.09090909090909091,0.3333333333333333
6,11,Growth factor receptor cysteine-rich domain superfamily,16,1,0.09090909090909091,0.0625
6,11,Immunoglobulin-like fold,55,1,0.09090909090909091,0.01818181818181818
6,11,Ion transport domain,5,1,0.09090909090909091,0.2
6,11,NAD(P)-binding domain superfamily,56,1,0.09090909090909091,0.017857142857142856
6,11,P-loop containing nucleoside triphosphate hydrolase,269,1,0.09090909090909091,0.0037174721189591076
6,11,PH-like domain superfamily,36,1,0.09090909090909091,0.027777777777777776
6,11,"Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase",2,1,0.09090909090909091,0.5
6,11,"Peptidase M1, membrane alanine aminopeptidase",2,1,0.09090909090909091,0.5
6,11,"Peptidase M4/M1, CTD superfamily",2,1,0.09090909090909091,0.5
6,11,Protein kinase domain,32,1,0.09090909090909091,0.03125
6,11,"Protein kinase, ATP binding site",27,1,0.09090909090909091,0.037037037037037035
6,11,Protein kinase-like domain superfamily,40,1,0.09090909090909091,0.025
6,11,Pyridoxal phosphate-dependent transferase,8,1,0.09090909090909091,0.125
6,11,"Pyridoxal phosphate-dependent transferase, major domain",8,1,0.09090909090909091,0.125
6,11,"Pyridoxal phosphate-dependent transferase, small domain",8,1,0.09090909090909091,0.125
6,11,Rab21,1,1,0.09090909090909091,1.0
6,11,Rossmann-like alpha/beta/alpha sandwich fold,16,1,0.09090909090909091,0.0625
6,11,SAB domain,2,1,0.09090909090909091,0.5
6,11,Sec1-like protein,4,1,0.09090909090909091,0.25
6,11,Sec1-like superfamily,4,1,0.09090909090909091,0.25
6,11,"Sec1-like, domain 1",3,1,0.09090909090909091,0.3333333333333333
6,11,"Sec1-like, domain 2",4,1,0.09090909090909091,0.25
6,11,"Sec1-like, domain 3a",3,1,0.09090909090909091,0.3333333333333333
6,11,Serine hydroxymethyltransferase,1,1,0.09090909090909091,1.0
6,11,"Serine hydroxymethyltransferase, pyridoxal phosphate binding site",1,1,0.09090909090909091,1.0
6,11,Serine hydroxymethyltransferase-like domain,1,1,0.09090909090909091,1.0
6,11,"Serine-threonine/tyrosine-protein kinase, catalytic domain",9,1,0.09090909090909091,0.1111111111111111
6,11,Small GTP-binding protein domain,67,1,0.09090909090909091,0.014925373134328358
6,11,Small GTPase,49,1,0.09090909090909091,0.02040816326530612
6,11,Sterile alpha motif domain,6,1,0.09090909090909091,0.16666666666666666
6,11,Sterile alpha motif/pointed domain superfamily,8,1,0.09090909090909091,0.125
6,11,Target SNARE coiled-coil homology domain,11,1,0.09090909090909091,0.09090909090909091
6,11,"Tyrosine-protein kinase, active site",11,1,0.09090909090909091,0.09090909090909091
6,11,"Tyrosine-protein kinase, catalytic domain",8,1,0.09090909090909091,0.125
6,11,"Tyrosine-protein kinase, receptor class V, conserved site",2,1,0.09090909090909091,0.5
6,11,Ubiquitin-like domain superfamily,22,1,0.09090909090909091,0.045454545454545456
7,13,"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal",1,1,0.07692307692307693,1.0
7,13,3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase,1,1,0.07692307692307693,1.0
7,13,"Alpha-(1,6)-fucosyltransferase",1,1,0.07692307692307693,1.0
7,13,"Alpha-(1,6)-fucosyltransferase, N- and catalytic domain",1,1,0.07692307692307693,1.0
7,13,"Alpha-(1,6)-fucosyltransferase, SH3 domain",1,1,0.07692307692307693,1.0
7,13,C2 domain,16,1,0.07692307692307693,0.0625
7,13,C2 domain superfamily,19,1,0.07692307692307693,0.05263157894736842
7,13,CRIB domain,2,1,0.07692307692307693,0.5
7,13,Cdc42 effector-like,2,1,0.07692307692307693,0.5
7,13,Coiled-coil and C2 domain-containing protein 1,2,1,0.07692307692307693,0.5
7,13,"Coiled-coil and C2 domain-containing protein 1, DM14 domain",2,1,0.07692307692307693,0.5
7,13,Eukaryotic translation initiation factor 3 subunit H,1,1,0.07692307692307693,1.0
7,13,"Freud, C2 domain",2,1,0.07692307692307693,0.5
7,13,Glycosyltransferase family 23 (GT23) domain,1,1,0.07692307692307693,1.0
7,13,HAT (Half-A-TPR) repeat,4,1,0.07692307692307693,0.25
7,13,Immunoglobulin E-set,11,1,0.07692307692307693,0.09090909090909091
7,13,JAB1/MPN/MOV34 metalloenzyme domain,4,1,0.07692307692307693,0.25
7,13,Large ribosomal subunit protein mL50,1,1,0.07692307692307693,1.0
7,13,MD-2-related lipid-recognition domain,1,1,0.07692307692307693,1.0
7,13,MPN domain,5,1,0.07692307692307693,0.2
7,13,"Npc2 like, ML domain",1,1,0.07692307692307693,1.0
7,13,Nucleotide-binding alpha-beta plait domain superfamily,126,1,0.07692307692307693,0.007936507936507936
7,13,"PRP1 splicing factor, N-terminal",1,1,0.07692307692307693,1.0
7,13,Pre-mRNA-splicing factor Syf1-like,1,1,0.07692307692307693,1.0
7,13,RNA recognition motif domain,117,1,0.07692307692307693,0.008547008547008548
7,13,RNA-binding domain superfamily,127,1,0.07692307692307693,0.007874015748031496
7,13,SH3 domain,25,1,0.07692307692307693,0.04
7,13,SH3-like domain superfamily,16,1,0.07692307692307693,0.0625
7,13,Short-chain dehydrogenase/reductase SDR,24,1,0.07692307692307693,0.041666666666666664
7,13,Sterol transport protein NPC2-like,1,1,0.07692307692307693,1.0
7,13,"TECR-like, N-terminal domain",1,1,0.07692307692307693,1.0
7,13,Tetratricopeptide repeat,14,1,0.07692307692307693,0.07142857142857142
7,13,Tetratricopeptide-like helical domain superfamily,46,1,0.07692307692307693,0.021739130434782608
7,13,Ubiquitin-like domain superfamily,22,1,0.07692307692307693,0.045454545454545456
7,13,Uncharacterised protein family TMEM39,1,1,0.07692307692307693,1.0
7,13,"Zinc finger, CHHC-type",4,1,0.07692307692307693,0.25
7,13,"eIF3h, C-terminal",1,1,0.07692307692307693,1.0
7,13,"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily",6,2,0.15384615384615385,0.3333333333333333
7,13,Pyrroline-5-carboxylate reductase,3,2,0.15384615384615385,0.6666666666666666
7,13,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal",4,2,0.15384615384615385,0.5
7,13,"Pyrroline-5-carboxylate reductase, dimerisation domain",3,2,0.15384615384615385,0.6666666666666666
7,13,NAD(P)-binding domain superfamily,56,3,0.23076923076923078,0.05357142857142857
8,6,Forkhead-associated (FHA) domain,4,1,0.16666666666666666,0.25
8,6,"HSP90, C-terminal domain",5,1,0.16666666666666666,0.2
8,6,Heat shock protein Hsp90 family,5,1,0.16666666666666666,0.2
8,6,"Heat shock protein Hsp90, N-terminal",5,1,0.16666666666666666,0.2
8,6,"Heat shock protein Hsp90, conserved site",4,1,0.16666666666666666,0.25
8,6,Histidine kinase/HSP90-like ATPase,8,1,0.16666666666666666,0.125
8,6,Histidine kinase/HSP90-like ATPase superfamily,9,1,0.16666666666666666,0.1111111111111111
8,6,Nonaspanin (TM9SF),4,1,0.16666666666666666,0.25
8,6,P-loop containing nucleoside triphosphate hydrolase,269,1,0.16666666666666666,0.0037174721189591076
8,6,Rab-GAP-TBC domain,1,1,0.16666666666666666,1.0
8,6,Rab-GAP-TBC domain superfamily,1,1,0.16666666666666666,1.0
8,6,Ran GTPase,1,1,0.16666666666666666,1.0
8,6,Ribosomal protein uS5 domain 2-type superfamily,21,1,0.16666666666666666,0.047619047619047616
8,6,SMAD/FHA domain superfamily,4,1,0.16666666666666666,0.25
8,6,Small GTP-binding protein domain,67,1,0.16666666666666666,0.014925373134328358
8,6,Small GTPase,49,1,0.16666666666666666,0.02040816326530612
8,6,"Zinc finger, LIM-type",12,1,0.16666666666666666,0.08333333333333333
9,15,ARID DNA-binding domain,1,1,0.06666666666666667,1.0
9,15,ARID DNA-binding domain superfamily,1,1,0.06666666666666667,1.0
9,15,"AT-rich interactive domain-containing protein 1A, ARID/BRIGHT DNA binding domain",1,1,0.06666666666666667,1.0
9,15,Armadillo-like helical,63,1,0.06666666666666667,0.015873015873015872
9,15,Armadillo-type fold,84,1,0.06666666666666667,0.011904761904761904
9,15,C2 domain,16,1,0.06666666666666667,0.0625
9,15,C2 domain superfamily,19,1,0.06666666666666667,0.05263157894736842
9,15,Cytochrome b561/Cytochrome b reductase 1-like,1,1,0.06666666666666667,1.0
9,15,Cytochrome b561/ferric reductase transmembrane,1,1,0.06666666666666667,1.0
9,15,"DAMP1, SANT/Myb-like domain",1,1,0.06666666666666667,1.0
9,15,DNA methyltransferase 1-associated 1,1,1,0.06666666666666667,1.0
9,15,Endonuclease/exonuclease/phosphatase superfamily,3,1,0.06666666666666667,0.3333333333333333
