group,domain,Interpro ID,domain_count
109,"Small ribosomal subunit protein uS8//RNA polymerase, subunit H/Rpb5 C-terminal//C1q domain//Small ribosomal subunit protein uS15, bacterial-type//RNA polymerase, Rpb5, N-terminal//Tumour necrosis factor-like domain superfamily//T-complex protein 1, gamma subunit//DNA-directed RNA polymerase subunit Rpo5/Rpb5//RNA polymerase, subunit H/Rpb5, conserved site//Acin1, RNSP1-SAP18 binding (RSB) motif//Acinus, RNA recognition motif//RPB5-like RNA polymerase subunit superfamily//Small ribosomal subunit protein uS8 superfamily//RNA polymerase Rpb5, N-terminal domain superfamily//Cdc42//Small ribosomal subunit protein uS8, conserved site",IPR000630//IPR000783//IPR001073//IPR005290//IPR005571//IPR008983//IPR012719//IPR014381//IPR020608//IPR032552//IPR034257//IPR035913//IPR035987//IPR036710//IPR037874//IPR047863,16
11,"UV excision repair protein Rad23//Mitochondrial import inner membrane translocase subunit Tim16//Protein wntless//XPC-binding domain//Nicalin//Splicing factor SF3a60 binding domain//Mot1, central domain//Splicing factor SF3a60 /Prp9 subunit, C-terminal//SDE2-like, C-terminal domain//SF3A3 domain//XPC-binding domain superfamily//RAD23A/RAD23B, UBA1 domain//Mot1, ATP-binding domain//TATA-binding protein-associated factor Mot1",IPR004806//IPR005341//IPR009551//IPR015360//IPR016574//IPR021966//IPR022707//IPR024598//IPR025086//IPR031774//IPR036353//IPR041811//IPR044078//IPR044972,14
110,"Hexokinase//Apyrase//SCA7 domain//Hexokinase, binding site//Alpha-ketoglutarate dehydrogenase component 4/YMR-31//Hexokinase, N-terminal//Hexokinase, C-terminal//Apyrase superfamily//ATP-dependent RNA helicase eIF4A, DEAD-box helicase domain",IPR001312//IPR009283//IPR013243//IPR019807//IPR020373//IPR022672//IPR022673//IPR036258//IPR044728,9
111,"UbiA prenyltransferase family//Peptidase S9, prolyl oligopeptidase, catalytic domain//Annexin A6//Dipeptidylpeptidase IV, N-terminal domain//Peptidase S9, serine active site//V-type ATPase, V0 complex, 116kDa subunit family//Mitochondrial pyruvate carrier//AAA ATPase, CDC48 family//Polyribonucleotide nucleotidyltransferase//Polyribonucleotide nucleotidyltransferase, RNA-binding domain//ATPase, V0 complex, subunit 116kDa, eukaryotic//UbiA prenyltransferase domain containing protein 1//Polyribonucleotide nucleotidyltransferase, RNA-binding domain superfamily//DDX41, DEAD-box helicase domain//UbiA prenyltransferase superfamily",IPR000537//IPR001375//IPR002393//IPR002469//IPR002471//IPR002490//IPR005336//IPR005938//IPR012162//IPR015848//IPR026028//IPR026046//IPR036456//IPR044113//IPR044878,15
112,"DWNN domain//Nucleoporin Nup120/160//Zinc knuckle CX2CX3GHX4C//Small ribosomal subunit protein mS26//Parvin//Golgi integral membrane protein 4//Peptidase M16, zinc-binding site//U-box domain",IPR014891//IPR021717//IPR025829//IPR026140//IPR028433//IPR042336//IPR001431//IPR003613,8
113,"Aspartic peptidase A1 family//Aspartic peptidase, active site//Ran-GTPase activating protein 1, C-terminal//Aspartic peptidase, N-terminal//Aspartic peptidase domain superfamily//Ran GTPase-activating protein//Peptidase family A1 domain//Cathepsin D//Ran-GTPase activating protein 1, C-terminal domain superfamily//Receptor L-domain//Furin-like cysteine-rich domain//Tyrosine protein kinase, EGF/ERB/XmrK receptor//Growth factor receptor domain 4//Receptor L-domain superfamily//Ankyrin, UPA domain//Epidermal growth factor receptor-like, transmembrane-juxtamembrane segment",IPR001461//IPR001969//IPR009109//IPR012848//IPR021109//IPR027038//IPR033121//IPR033144//IPR036720//IPR000494//IPR006211//IPR016245//IPR032778//IPR036941//IPR040745//IPR049328,16
114,"Translation protein, beta-barrel domain superfamily//Alanine-tRNA ligase, class IIc//Nucleolar complex protein 2//Nucleoporin, NSP1-like, C-terminal//T-complex protein 1, delta subunit//Threonyl/alanyl tRNA synthetase, SAD//Calcium/calmodulin-dependent protein kinase II, association-domain//Initiation factor eIF2 gamma, C-terminal//Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily//Alanyl-tRNA synthetase, class IIc, N-terminal//Alanyl-tRNA synthetase, class IIc, core domain//Alanine-tRNA ligase, eukaryota/bacteria//Nucleoporin NSP1/NUP62//Medium-chain specific acyl-CoA dehydrogenase//Prostaglandin E synthase 2//Prostaglandin E synthase 2, C-terminal//TRIM25, PRY/SPRY domain//Initiation factor eIF2 gamma, domain 2//Initiation factor eIF2 gamma, GTP-binding domain",IPR009000//IPR002318//IPR005343//IPR007758//IPR012717//IPR012947//IPR013543//IPR015256//IPR018162//IPR018164//IPR018165//IPR023033//IPR026010//IPR034180//IPR034334//IPR034335//IPR042753//IPR044127//IPR044128,19
115,"CBS domain//Chloride channel, voltage gated//Chloride channel ClC-7//Chloride channel, core//CBS domain superfamily//Alpha-catenin//HEAT repeat//Vinculin, conserved site//Vinculin/alpha-catenin//Importin beta family//Alpha-catenin/vinculin-like superfamily//Importin-beta, N-terminal domain",IPR000644//IPR001807//IPR002249//IPR014743//IPR046342//IPR001033//IPR000357//IPR000633//IPR006077//IPR040122//IPR036723//IPR001494,12
116,"SPF45, RNA recognition motif//Splicing factor 45//Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex//Dihydrolipoamide acetyltransferase/Pyruvate dehydrogenase protein X component//Small ribonucleoprotein associated, SmB/SmN//Peripheral subunit-binding domain//E3-binding domain superfamily//EF-Hand 1, calcium-binding site//Phostensin/Taperin N-terminal domain//Phostensin/Taperin PP1-binding domain//Phostensin/Taperin",IPR034653//IPR040052//IPR006257//IPR045257//IPR017131//IPR004167//IPR036625//IPR018247//IPR025903//IPR025907//IPR026671,11
117,"Organic solute transporter subunit alpha/Transmembrane protein 184//P-type ATPase, subfamily IIA, SERCA-type//ABC-transporter extension domain//Upstream-binding protein 1, SAM domain//Large ribosomal subunit protein mL43//Rab effector MyRIP/Melanophilin//CP2 transcription factor//Rab-binding domain//Melanophilin, FYVE-related domain//Sister chromatid cohesion protein Pds5//Transcription factor CP2-like//FYVE-type zinc finger//SAM domain",IPR005178//IPR005782//IPR032781//IPR037600//IPR039927//IPR006788//IPR007604//IPR010911//IPR037442//IPR039776//IPR040167//IPR041282//IPR041418,13
118,"Nucleobindin//ATPase, V1 complex, subunit D//Ribosomal RNA-processing protein 7, C-terminal domain//Helicase MOV-10/SDE3, DEXXQ/H-box helicase domain//Rrp7A, RNA recognition motif//Ribosomal RNA-processing protein 7//Rrp7, RRM-like N-terminal domain//Helicase MOV-10, N-terminal//Helicase MOV-10, Ig-like domain//Helicase MOV-10, helical domain//Helicase MOV-10-like, beta-barrel domain//Cdc73/Parafibromin//Cell division control protein 73, C-terminal//Paf1 complex subunit Cdc73, N-terminal domain//Cell division control protein 73, C-terminal domain superfamily//Chaperonin Cpn60/GroEL//Chaperonin Cpn60, conserved site",IPR040250//IPR002699//IPR024326//IPR026122//IPR034890//IPR040446//IPR040447//IPR049075//IPR049077//IPR049079//IPR049080//IPR007852//IPR031336//IPR032041//IPR038103//IPR001844//IPR018370,17
119,"ATP-dependent Clp protease proteolytic subunit//Endoribonuclease YbeY//Plexin repeat//IPT domain//Plexin, cytoplasmic RasGAP domain//ClpP, Ser active site//Endoribonuclease YbeY, conserved site//Metalloprotease catalytic domain superfamily, predicted//Clp protease proteolytic subunit /Translocation-enhancing protein TepA//Transmembrane protein 177//Plexin family//ClpP, histidine active site//SNX9, SH3 domain//Sorting nexin-9, BAR domain//Sorting nexin-9, PX domain//Structural maintenance of chromosomes flexible hinge domain-containing protein 1//Plexin, TIG domain 1//YTH domain containing protein//Plexin, cytoplasmic RhoGTPase-binding domain",IPR001907//IPR002036//IPR002165//IPR002909//IPR013548//IPR018215//IPR020549//IPR023091//IPR023562//IPR026620//IPR031148//IPR033135//IPR035558//IPR037425//IPR037426//IPR038892//IPR041019//IPR045168//IPR046800,19
12,"Synaptophysin/synaptoporin//Sodium:dicarboxylate symporter//Sodium:dicarboxylate symporter, conserved site//Sodium:dicarboxylate symporter superfamily//EF-hand domain pair",IPR001285//IPR001991//IPR018107//IPR036458//IPR011992,5
120,"Small-subunit processome, Utp11//rRNA 2'-O-methyltransferase fibrillarin-like//Large ribosomal subunit protein uL6-like//Large ribosomal subunit protein uL6, conserved site-2//Large ribosomal subunit protein uL6, alpha-beta domain//Fibrillarin, conserved site//Large ribosomal subunit protein uL6-like, alpha-beta domain superfamily//Chromatin target of PRMT1 protein, C-terminal",IPR007144//IPR000692//IPR000702//IPR002359//IPR020040//IPR020813//IPR036789//IPR025715,8
121,"Tetrahydrofolate dehydrogenase/cyclohydrolase//Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain//Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain//Large ribosomal subunit protein bL17//Pseudouridine synthase, RluA-like, conserved site//DNA recombination and repair protein RecA, monomer-monomer interface//Class XVIII myosin, motor domain//Large ribosomal subunit protein bL17 superfamily//Phosphate transporter//Formate-tetrahydrofolate ligase, FTHFS//Pseudouridine synthase, RsuA/RluA-like//Formate-tetrahydrofolate ligase, FTHFS, conserved site//Zinc transporter Msc2-like",IPR000672//IPR020630//IPR020631//IPR000456//IPR006224//IPR020587//IPR036064//IPR036373//IPR001204//IPR000559//IPR006145//IPR020628//IPR045316,13
122,"Small ribosomal subunit protein uS10//Pyrrolo-quinoline quinone repeat//Small ribosomal subunit protein uS10, eukaryotic/archaeal//ER membrane protein complex subunit 1, C-terminal//NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 2//Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y//Strictosidine synthase, conserved region//Small ribosomal subunit protein uS10, conserved site//ER membrane protein complex subunit 1//NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",IPR001848//IPR002372//IPR005729//IPR011678//IPR016464//IPR017597//IPR018119//IPR018268//IPR026895//IPR039205,10
123,"Fibrillar collagen, C-terminal//Ribosomal biogenesis regulatory protein//Nicastrin//GPI transamidase subunit PIG-U//Ragulator complex protein LAMTOR3//Domain of unknown function DUF4378//Centrosome-associated protein 350/Coiled-coil domain-containing protein 187//Sorting nexin-33, BAR domain//Nicastrin, small lobe",IPR000885//IPR007023//IPR008710//IPR009600//IPR015019//IPR025486//IPR028750//IPR037427//IPR041084,9
124,"NAD(P)-binding domain superfamily//Translation elongation factor EFTu/EF1A, bacterial/organelle//Phosphatidate cytidylyltransferase, mitochondrial//Elongation factor Tu, domain 2//Small ribosomal subunit protein eS10//Elongation factor Tu (EF-Tu), GTP-binding domain//Short-chain dehydrogenase/reductase SDR",IPR036291//IPR004541//IPR015222//IPR033720//IPR037447//IPR041709//IPR002347,7
125,"NAD(P)-binding domain superfamily//Peptidase S26B//Large ribosomal subunit protein eL38//PQ-loop repeat//Glycosyltransferase, ALG3//Prenylcysteine lyase//Peptidase S24/S26A/S26B/S26C//Mannose-P-dolichol utilization defect 1 protein//Prenylcysteine oxidase//Peptidase S26//Peptidase S26A, signal peptidase I, serine active site//Peptidase S26A, signal peptidase I, conserved site//UDP-glucuronate decarboxylase N-terminal//Integrator complex subunit 1, RPB2-binding domain//LexA/Signal peptidase-like superfamily//Large ribosomal subunit protein eL38 superfamily//Integrator complex subunit 1//UDP-glucuronic acid decarboxylase",IPR036291//IPR001733//IPR002675//IPR006603//IPR007873//IPR010795//IPR015927//IPR016817//IPR017046//IPR019533//IPR019756//IPR019758//IPR021761//IPR022145//IPR036286//IPR038464//IPR038902//IPR044516,18
126,"Saccharopine dehydrogenase-like, C-terminal//Tafazzin//Saccharopine dehydrogenase, NADP binding domain//Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain//Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal",IPR032095//IPR000872//IPR005097//IPR007698//IPR007886,5
127,"Fibronectin type II domain//Kringle-like fold//Fibronectin type II domain superfamily//RNA binding activity-knot of a chromodomain//NUDIX hydrolase domain//Cation-independent mannose-6-phosphate receptor repeat//T-complex protein 1, eta subunit//Cleavage/polyadenylation specificity factor subunit 5//Cytoplasmic activation/proliferation-associated protein-1 C term//Caprin//RBM25, RNA recognition motif//Caprin-1 dimerization domain//Nucleolar protein 14",IPR000562//IPR013806//IPR036943//IPR025995//IPR000086//IPR000479//IPR012720//IPR016706//IPR022070//IPR028816//IPR034268//IPR041637//IPR007276,13
128,"Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic//L27 domain, C-terminal//Protein lin-7//THO complex, subunit 5//Protein S100-A11//Vinexin, SH3 domain 3//Vinexin, SH3 domain 2//Vinexin, SH3 domain 1//SoHo domain//Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain//L27 domain//Helicase/SANT-associated domain//Adaptor protein complex AP-2, alpha subunit//Axonemal dynein light chain//L27 domain superfamily",IPR004493//IPR014775//IPR017365//IPR019163//IPR028482//IPR035607//IPR035608//IPR035609//IPR003127//IPR003164//IPR004172//IPR014012//IPR017104//IPR019347//IPR036892,15
129,"Primosome PriB/single-strand DNA-binding//Spen paralogue/orthologue C-terminal, metazoa//Single-stranded DNA-binding protein//Spen paralogue and orthologue SPOC, C-terminal//ER membrane protein complex subunit 7, beta-sandwich domain//RBM15, RNA recognition motif 1//RBM15, RNA recognition motif 2//RBM15, RNA recognition motif 3//ER membrane protein complex subunit 7//STML2-like, C-terminal extension//G-protein, gamma subunit//G-protein gamma-like domain//G-protein gamma-like domain superfamily//Peptidase M16, zinc-binding site//ATPase, V0 complex, c/d subunit//ATPase, V0 complex, subunit d//hnRNP A1/3, RNA recognition motif 2//V-type ATPase subunit C/d//V-type ATP synthase subunit c/d subunit superfamily//DPM1-like//V-type ATP synthase c/d subunit, domain 3 superfamily",IPR000424//IPR010912//IPR011344//IPR012921//IPR019008//IPR034470//IPR034472//IPR034473//IPR039163//IPR032435//IPR001770//IPR015898//IPR036284//IPR001431//IPR002843//IPR016727//IPR034516//IPR035067//IPR036079//IPR039528//IPR044911,21
130,"Oxoglutarate/iron-dependent dioxygenase//Prolyl 4-hydroxylase, alpha subunit//ER lumen protein retaining receptor//Signal recognition particle, SRP54 subunit, M-domain//Signal recognition particle, SRP54 subunit, eukaryotic//Peroxisome membrane anchor protein Pex14p, N-terminal//Signal recognition particle, SRP54 subunit//Peroxisomal membrane protein 14//Class V myosin, motor domain//Signal recognition particle, SRP54 subunit, M-domain superfamily//Myosin 5a, cargo-binding domain",IPR005123//IPR006620//IPR000133//IPR004125//IPR006325//IPR006785//IPR022941//IPR025655//IPR036103//IPR036891//IPR037988,11
131,"Ribosome-binding factor A//Ribosome-binding factor A, conserved site//Ribosome-binding factor A domain superfamily//Small ribosomal subunit protein uS17m, metazoa//Ribosome-binding factor A, mitochondrial//Small ribosomal subunit protein uS17//RFT1//NADH-ubiquinone reductase complex 1 MLRQ subunit//K homology domain-like, alpha/beta",IPR000238//IPR020053//IPR023799//IPR039193//IPR039212//IPR000266//IPR007594//IPR010530//IPR015946,9
132,"Phosphatidyl serine synthase//Uncharacterised domain CHP00451//tRNA pseudouridine synthase B family//Bax inhibitor 1-related//Apolipoprotein L//Haem peroxidase superfamily//Dyskerin-like//Haem peroxidase, animal-type//tRNA pseudouridylate synthase B, C-terminal//Peroxidasin, peroxidase domain//Peroxidasin, Ig-like domain 4//Growth hormone-inducible transmembrane protein//Haem peroxidase domain superfamily, animal type//Rab35//Eukaryotic translation elongation factor 1 epsilon-1//Peroxidasin, Ig-like domain 3",IPR004277//IPR004521//IPR004802//IPR006214//IPR008405//IPR010255//IPR012960//IPR019791//IPR032819//IPR034824//IPR034828//IPR035871//IPR037120//IPR041815//IPR042450//IPR047018,16
133,"Succinate dehydrogenase/fumarate reductase iron-sulphur protein//2Fe-2S ferredoxin, iron-sulphur binding site//Alpha-helical ferredoxin//Pre-mRNA-splicing factor 19//Succinate dehydogenase/fumarate reductase N-terminal//Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like//Stromal interaction molecule 1, SAM domain//Pre-mRNA-processing factor 19",IPR004489//IPR006058//IPR009051//IPR013915//IPR025192//IPR026051//IPR037609//IPR038959,8
134,"Flavodoxin-like//Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding//Nucleoside-triphosphatase, THEP1 type//Yif1 family//GPI transamidase component PIG-T//Flavodoxin/nitric oxide synthase//Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding domain//NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily//NADPH-cytochrome P450 reductase//Vacuolar protein sorting-associated protein 13//Vacuolar protein sorting-associated protein 13-like, N-terminal domain//Flavoprotein-like superfamily//VPS13, middle RBG modules//Vacuolar protein sorting-associated protein 13, DH-like domain//Vacuolar protein sorting-associated protein 13, extended chorein//Intermembrane lipid transfer protein VPS13D, UBA domain//LDLR class B repeat//Longin domain//Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",IPR001094//IPR003097//IPR004948//IPR005578//IPR007245//IPR008254//IPR009543//IPR023173//IPR023208//IPR026847//IPR026854//IPR029039//IPR031642//IPR031645//IPR031646//IPR041969//IPR000033//IPR010908//IPR045017,19
135,"Calmodulin-binding domain//Arginyl tRNA synthetase N-terminal domain//Eukaryotic rRNA processing//Potassium channel domain//Potassium channel, calcium-activated, SK//RelA-associated inhibitor//SK, calmodulin-binding domain superfamily//RelA-associated inhibitor, SH3 domain",IPR004178//IPR005148//IPR008610//IPR013099//IPR015449//IPR028320//IPR036122//IPR042722,8
136,Small GTPase,IPR001806,1
137,"GPI transamidase component Gaa1//Mannosyltransferase ALG2//Glycosyltransferase subfamily 4-like, N-terminal domain//CEBPZ/Mak21-like",IPR007246//IPR027054//IPR028098//IPR040155,4
138,"Heterogeneous nuclear ribonucleoprotein A1/A2, C-terminal//C2 domain superfamily//Tubulin//Tubulin/FtsZ, GTPase domain//Tubulin/FtsZ, C-terminal//Tubulin, conserved site//Tubulin/FtsZ, 2-layer sandwich domain//Tubulin, C-terminal//Tubulin/FtsZ, GTPase domain superfamily//Tubulin/FtsZ-like, C-terminal domain//C2 domain//AIMP2, lysyl-tRNA synthetase binding domain//hnRNP A2/B1, RNA recognition motif 1//hnRNP A1, RNA recognition motif 1//AIMP2, thioredoxin-like domain//Aminoacyl tRNA synthase complex-interacting multifunctional protein 2",IPR021662//IPR035892//IPR000217//IPR003008//IPR008280//IPR017975//IPR018316//IPR023123//IPR036525//IPR037103//IPR000008//IPR031889//IPR034486//IPR034845//IPR041503//IPR042360,16
