Interpro ID,group,proteins,p_value,odds_ratio,domain_in_group,total_domain,protein_in_group,total_protein,domain
IPR036640,146,ABCC1;ABCD3;ABCD1,0.0006004001266578712,23.73818181818182,3,14,28,2215,"ABC transporter type 1, transmembrane domain superfamily"
IPR000719,195,TTN;PRKCA,0.0006013658991703197,145.46666666666667,2,32,3,2215,Protein kinase domain
IPR000719,40,AURKB;CDK9,0.002926170202667872,36.31666666666667,2,32,6,2215,Protein kinase domain
IPR011013,69,MAN2A1;GANAB,0.0007629028745459489,128.11764705882354,2,3,36,2215,Galactose mutarotase-like domain superfamily
IPR016039,23,HADHB;SCP2,0.0007653799145751188,73.2,2,7,14,2215,Thiolase-like
IPR003960,95,PSMC5;NSF;PEX6,0.0008146004355424133,21.165584415584416,3,14,31,2215,"ATPase, AAA-type, conserved site"
IPR018159,202,PLEC;SPTAN1;SPTBN1,0.0008509721798122849,20.4,3,19,23,2215,Spectrin/alpha-actinin
IPR004014,144,ATP2B1;ATP2C1,0.0008817980666164302,67.53846153846153,2,7,15,2215,"Cation-transporting P-type ATPase, N-terminal"
IPR004014,78,ATP1A1,0.006311977340992372,367.8333333333333,1,7,2,2215,"Cation-transporting P-type ATPase, N-terminal"
IPR006068,144,ATP2B1;ATP2C1,0.0008817980666164302,67.53846153846153,2,7,15,2215,"Cation-transporting P-type ATPase, C-terminal"
IPR006068,78,ATP1A1,0.006311977340992372,367.8333333333333,1,7,2,2215,"Cation-transporting P-type ATPase, C-terminal"
IPR007269,21,ICMT,0.0009029345372460496,inf,1,1,2,2215,Isoprenylcysteine carboxyl methyltransferase
IPR025770,21,ICMT,0.0009029345372460496,inf,1,1,2,2215,Protein-S-isoprenylcysteine O-methyltransferase
IPR012099,36,MDN1,0.0009029345372460496,inf,1,1,2,2215,Midasin
IPR040848,36,MDN1,0.0009029345372460496,inf,1,1,2,2215,"Midasin, AAA lid domain 7"
IPR041190,36,MDN1,0.0009029345372460496,inf,1,1,2,2215,Midasin AAA lid domain 5
IPR048617,36,MDN1,0.0009029345372460496,inf,1,1,2,2215,"Midasin, lid domain 4"
IPR000836,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,Phosphoribosyltransferase domain
IPR000842,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,"Phosphoribosyl pyrophosphate synthetase, conserved site"
IPR005946,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,Ribose-phosphate pyrophosphokinase
IPR012762,37,COQ9,0.0009029345372460496,inf,1,1,2,2215,Ubiquinone biosynthesis protein COQ9
IPR013718,37,COQ9,0.0009029345372460496,inf,1,1,2,2215,"COQ9, C-terminal domain"
IPR029057,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,Phosphoribosyltransferase-like
IPR029099,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,"Ribose-phosphate pyrophosphokinase, N-terminal domain"
IPR037515,37,PRPS1,0.0009029345372460496,inf,1,1,2,2215,"Ribose-phosphate pyrophosphokinase, bacterial-type"
IPR048674,37,COQ9,0.0009029345372460496,inf,1,1,2,2215,"Ubiquinone biosynthesis protein COQ9, HTH domain"
IPR014762,72,SLC25A42,0.0009029345372460496,inf,1,1,2,2215,"DNA mismatch repair, conserved site"
IPR032196,74,FMR1,0.0009029345372460496,inf,1,1,2,2215,"Fragile X messenger ribonucleoprotein 1, C-terminal region 2"
IPR047431,74,FMR1,0.0009029345372460496,inf,1,1,2,2215,"Fragile X messenger ribonucleoprotein 1, first Tudor-like Agenet domain"
IPR047436,74,FMR1,0.0009029345372460496,inf,1,1,2,2215,"Fragile X messenger ribonucleoprotein 1, second Tudor-like Agenet domain"
IPR047438,74,FMR1,0.0009029345372460496,inf,1,1,2,2215,"Fragile X messenger ribonucleoprotein 1, first type I K homology domain"
IPR047440,74,FMR1,0.0009029345372460496,inf,1,1,2,2215,"Fragile X messenger ribonucleoprotein 1, second type I K homology domain"
IPR002000,175,LAMP1,0.0009029345372460496,inf,1,1,2,2215,Lysosome-associated membrane glycoprotein
IPR018134,175,LAMP1,0.0009029345372460496,inf,1,1,2,2215,"Lysosome-associated membrane glycoprotein, conserved site"
IPR048524,175,LAMP1,0.0009029345372460496,inf,1,1,2,2215,"Lysosome-associated membrane glycoprotein 2-like, transmembrane domain"
IPR048528,175,LAMP1,0.0009029345372460496,inf,1,1,2,2215,"Lysosome-associated membrane glycoprotein 2-like, luminal domains"
IPR021720,187,MLEC,0.0009029345372460496,inf,1,1,2,2215,Malectin domain
IPR039155,187,MLEC,0.0009029345372460496,inf,1,1,2,2215,Malectin
IPR007905,190,EBP,0.0009029345372460496,inf,1,1,2,2215,Emopamil-binding protein
IPR033118,190,EBP,0.0009029345372460496,inf,1,1,2,2215,EXPERA domain
IPR008832,212,SRP9,0.0009029345372460496,inf,1,1,2,2215,Signal recognition particle SRP9
IPR028945,212,WRB,0.0009029345372460496,inf,1,1,2,2215,Get1 family
IPR029012,212,WRB,0.0009029345372460496,inf,1,1,2,2215,Helix hairpin bin domain superfamily
IPR039432,212,SRP9,0.0009029345372460496,inf,1,1,2,2215,SRP9 domain
IPR039914,212,SRP9,0.0009029345372460496,inf,1,1,2,2215,Signal recognition particle SRP9-like
IPR011009,195,TTN;PRKCA,0.0009433964585137554,114.42105263157895,2,40,3,2215,Protein kinase-like domain superfamily
IPR011009,40,AURKB;CDK9,0.004557189289953366,28.56578947368421,2,40,6,2215,Protein kinase-like domain superfamily
IPR011993,228,ARHGEF2;RANBP2;OSBPL8,0.001009031300423948,19.71818181818182,3,36,13,2215,PH-like domain superfamily
IPR010926,202,MYO1B;MYO1C,0.001012358699895426,69.4920634920635,2,5,23,2215,Class I myosin tail homology domain
IPR010926,204,MYO1C,0.004510594391120736,552.25,1,5,2,2215,Class I myosin tail homology domain
IPR036072,202,MYO1B;MYO1C,0.001012358699895426,69.4920634920635,2,5,23,2215,"Class I myosin, motor domain"
IPR036072,204,MYO1C,0.004510594391120736,552.25,1,5,2,2215,"Class I myosin, motor domain"
IPR005819,27,HIST1H1E;HIST1H1B,0.0010168195722108403,60.97222222222222,2,8,14,2215,Linker histone H1/H5
IPR005819,5,HIST1H1E,0.007212057071661762,315.14285714285717,1,8,2,2215,Linker histone H1/H5
IPR003439,146,ABCC1;ABCD3;ABCD1,0.0010934191502765995,18.625714285714285,3,17,28,2215,"ABC transporter-like, ATP-binding domain"
IPR003439,164,ABCB8;ABCF1,0.00789394040193438,18.183333333333334,2,17,18,2215,"ABC transporter-like, ATP-binding domain"
IPR017871,146,ABCC1;ABCD3;ABCD1,0.0010934191502765995,18.625714285714285,3,17,28,2215,"ABC transporter-like, conserved site"
IPR017871,164,ABCB8;ABCF1,0.00789394040193438,18.183333333333334,2,17,18,2215,"ABC transporter-like, conserved site"
IPR046346,95,MTHFD1;MTHFD2,0.001118057709799324,75.24137931034483,2,4,31,2215,"Aminoacid dehydrogenase-like, N-terminal domain superfamily"
IPR001005,193,SMARCC2;SMARCC1,0.0011373206288915142,60.861111111111114,2,6,20,2215,SANT/Myb domain
IPR036420,193,SMARCC2;SMARCC1,0.0011373206288915142,60.861111111111114,2,6,20,2215,BRCT domain superfamily
IPR001876,216,TAF15;FUS,0.0011711298643187376,56.256410256410255,2,8,15,2215,"Zinc finger, RanBP2-type"
IPR036443,216,TAF15;FUS,0.0011711298643187376,56.256410256410255,2,8,15,2215,"Zinc finger, RanBP2-type superfamily"
IPR000225,95,CTNNB1;KPNA6;KPNA4,0.0012296275225297988,17.892857142857142,3,16,31,2215,Armadillo
IPR008271,40,AURKB;CDK9,0.0012555187390439983,57.63157894736842,2,21,6,2215,"Serine/threonine-protein kinase, active site"
IPR008387,51,ATP5J,0.0013544018058690747,inf,1,1,3,2215,"ATP synthase-coupling factor 6, mitochondrial"
IPR036204,51,ATP5J,0.0013544018058690747,inf,1,1,3,2215,"ATP synthase-coupling factor 6 superfamily, mitochondrial"
IPR014767,28,FMNL2,0.0013544018058690747,inf,1,1,3,2215,Diaphanous autoregulatory (DAD) domain
IPR043592,28,FMNL2,0.0013544018058690747,inf,1,1,3,2215,"Formin-like protein, animal"
IPR033677,53,ELOVL5,0.0013544018058690747,inf,1,1,3,2215,Elongation of very long chain fatty acids protein 5
IPR007187,70,NUP133,0.0013544018058690747,inf,1,1,3,2215,"Nucleoporin, Nup133/Nup155-like, C-terminal"
IPR007259,70,TUBGCP3,0.0013544018058690747,inf,1,1,3,2215,Gamma-tubulin complex component protein
IPR037624,70,NUP133,0.0013544018058690747,inf,1,1,3,2215,Nuclear pore complex protein Nup133-like
IPR040457,70,TUBGCP3,0.0013544018058690747,inf,1,1,3,2215,"Gamma tubulin complex component, C-terminal"
IPR041470,70,TUBGCP3,0.0013544018058690747,inf,1,1,3,2215,"Gamma tubulin complex component protein, N-terminal"
IPR042241,70,TUBGCP3,0.0013544018058690747,inf,1,1,3,2215,"Gamma-tubulin complex component, C-terminal domain superfamily"
IPR001232,229,SKP1,0.0013544018058690747,inf,1,1,3,2215,S-phase kinase-associated protein 1-like
IPR016072,229,SKP1,0.0013544018058690747,inf,1,1,3,2215,"SKP1 component, dimerisation"
IPR016073,229,SKP1,0.0013544018058690747,inf,1,1,3,2215,"SKP1 component, POZ domain"
IPR016897,229,SKP1,0.0013544018058690747,inf,1,1,3,2215,S-phase kinase-associated protein 1
IPR036296,229,SKP1,0.0013544018058690747,inf,1,1,3,2215,"SKP1-like, dimerisation domain superfamily"
IPR008899,102,BSN,0.0013544018058690747,inf,1,1,3,2215,"Zinc finger, piccolo-type"
IPR013919,102,PEX16,0.0013544018058690747,inf,1,1,3,2215,"Peroxisome membrane protein, Pex16"
IPR030627,102,BSN,0.0013544018058690747,inf,1,1,3,2215,"Protein bassoon, FYVE domain"
IPR044765,102,DDX47,0.0013544018058690747,inf,1,1,3,2215,"DDX47/Rrp3, DEAD-box helicase domain"
IPR000644,115,CLCN7,0.0013544018058690747,inf,1,1,3,2215,CBS domain
IPR001807,115,CLCN7,0.0013544018058690747,inf,1,1,3,2215,"Chloride channel, voltage gated"
IPR002249,115,CLCN7,0.0013544018058690747,inf,1,1,3,2215,Chloride channel ClC-7
IPR014743,115,CLCN7,0.0013544018058690747,inf,1,1,3,2215,"Chloride channel, core"
IPR046342,115,CLCN7,0.0013544018058690747,inf,1,1,3,2215,CBS domain superfamily
IPR004020,184,IFI16,0.0013544018058690747,inf,1,1,3,2215,DAPIN domain
IPR004021,184,IFI16,0.0013544018058690747,inf,1,1,3,2215,HIN-200/IF120x
IPR040205,184,IFI16,0.0013544018058690747,inf,1,1,3,2215,HIN-200 family
IPR006644,168,DAG1,0.0013544018058690747,inf,1,1,3,2215,Dystroglycan-type cadherin-like
IPR008465,168,DAG1,0.0013544018058690747,inf,1,1,3,2215,"Dystroglycan, C-terminal"
IPR027468,168,DAG1,0.0013544018058690747,inf,1,1,3,2215,Alpha-dystroglycan domain 2
IPR030398,168,DAG1,0.0013544018058690747,inf,1,1,3,2215,DG-type SEA domain
IPR041631,168,DAG1,0.0013544018058690747,inf,1,1,3,2215,Alpha-dystroglycan N-terminal domain 2
IPR017261,169,MSH6,0.0013544018058690747,inf,1,1,3,2215,DNA mismatch repair protein MutS/MSH
IPR043361,169,DNAJC16,0.0013544018058690747,inf,1,1,3,2215,"DnaJ homolog subfamily C member 16, TRX domain"
IPR011501,194,NOC3L,0.0013544018058690747,inf,1,1,3,2215,"Nucleolar complex-associated protein 3, N-terminal"
IPR016903,194,NOC3L,0.0013544018058690747,inf,1,1,3,2215,Nucleolar complex-associated protein 3
IPR034991,194,RBM5,0.0013544018058690747,inf,1,1,3,2215,"RNA-binding protein 5, RNA recognition motif 1"
IPR034993,194,RBM5,0.0013544018058690747,inf,1,1,3,2215,"RNA-binding protein 5, RNA recognition motif 2"
IPR010548,219,BNIP3L,0.0013544018058690747,inf,1,1,3,2215,BNIP3
IPR016292,219,EPHX1,0.0013544018058690747,inf,1,1,3,2215,Epoxide hydrolase
IPR037810,224,PHLDB2,0.0013544018058690747,inf,1,1,3,2215,"PHLDB1/2/3, PH domain"
IPR000906,69,TJP1;SH3BP4,0.0015101926184006775,64.02941176470588,2,4,36,2215,ZU5 domain
IPR013780,69,MAN2A1;GANAB,0.0015101926184006775,64.02941176470588,2,4,36,2215,"Glycosyl hydrolase, all-beta"
IPR006195,151,DARS;SARS2,0.0015114051923185673,48.71111111111111,2,8,17,2215,"Aminoacyl-tRNA synthetase, class II"
IPR001464,166,ANXA7;ANXA4,0.0016972523765691472,45.645833333333336,2,8,18,2215,Annexin
IPR001464,199,ANXA2,0.007212057071661762,315.14285714285717,1,8,2,2215,Annexin
IPR018252,166,ANXA7;ANXA4,0.0016972523765691472,45.645833333333336,2,8,18,2215,"Annexin repeat, conserved site"
IPR018252,199,ANXA2,0.007212057071661762,315.14285714285717,1,8,2,2215,"Annexin repeat, conserved site"
IPR018502,166,ANXA7;ANXA4,0.0016972523765691472,45.645833333333336,2,8,18,2215,Annexin repeat
IPR018502,199,ANXA2,0.007212057071661762,315.14285714285717,1,8,2,2215,Annexin repeat
IPR037104,166,ANXA7;ANXA4,0.0016972523765691472,45.645833333333336,2,8,18,2215,Annexin superfamily
IPR037104,199,ANXA2,0.007212057071661762,315.14285714285717,1,8,2,2215,Annexin superfamily
IPR008991,234,RPL27;MRPL24;MRPL19;MRPL2,0.001753294816440896,10.193236714975846,4,13,96,2215,Translation protein SH3-like domain superfamily
IPR040250,21,NUCB2,0.001805461244981148,2212.0,1,2,2,2215,Nucleobindin
IPR040250,118,NUCB1,0.009010993044467688,244.88888888888889,1,2,10,2215,Nucleobindin
IPR000306,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,FYVE zinc finger
IPR004012,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,RUN domain
IPR017455,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,"Zinc finger, FYVE-related"
IPR037213,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,RUN domain superfamily
IPR047336,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,"FYCO1, RUN domain"
IPR047337,225,FYCO1,0.001805461244981148,2212.0,1,2,2,2215,"FYCO1, FYVE domain"
IPR011704,36,MDN1,0.001805461244981148,2212.0,1,2,2,2215,"ATPase, dynein-related, AAA domain"
IPR006139,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
IPR006140,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain"
IPR006236,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,D-3-phosphoglycerate dehydrogenase
IPR029009,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,Allosteric substrate binding domain superfamily
IPR029752,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1"
IPR029753,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site"
IPR045626,42,PHGDH,0.001805461244981148,2212.0,1,2,2,2215,"D-3-phosphoglycerate dehydrogenase, ASB domain"
IPR001006,162,PLOD1,0.001805461244981148,2212.0,1,2,2,2215,"Procollagen-lysine 5-dioxygenase, conserved site"
IPR044861,162,PLOD1,0.001805461244981148,2212.0,1,2,2,2215,"Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain"
IPR009581,190,FAM20B,0.001805461244981148,2212.0,1,2,2,2215,"FAM20, C-terminal"
IPR024869,190,FAM20B,0.001805461244981148,2212.0,1,2,2,2215,FAM20
IPR009018,212,SRP9,0.001805461244981148,2212.0,1,2,2,2215,"Signal recognition particle, SRP9/SRP14 subunit"
IPR009582,33,SPCS2,0.0018058690744920992,inf,1,1,4,2215,Signal peptidase complex subunit 2
IPR018605,33,CDCA5,0.0018058690744920992,inf,1,1,4,2215,Sororin protein
IPR017997,159,VCL,0.0018058690744920992,inf,1,1,4,2215,Vinculin
IPR019375,159,MRPS28,0.0018058690744920992,inf,1,1,4,2215,Small ribosomal subunit protein bS1m
IPR025483,159,LIPA,0.0018058690744920992,inf,1,1,4,2215,"Lipase, eukaryotic"
IPR000469,39,GNA13,0.0018058690744920992,inf,1,1,4,2215,"G-protein alpha subunit, group 12/13"
IPR000010,30,CSTA,0.0018058690744920992,inf,1,1,4,2215,Cystatin domain
IPR001713,30,CSTA,0.0018058690744920992,inf,1,1,4,2215,"Proteinase inhibitor I25A, stefin"
IPR009066,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,"Alpha-2-macroglobulin receptor-associated protein, domain 1"
IPR010483,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,"Alpha-2-macroglobulin RAP, C-terminal"
IPR018073,30,CSTA,0.0018058690744920992,inf,1,1,4,2215,"Proteinase inhibitor I25, cystatin, conserved site"
IPR036744,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,RAP domain superfamily
IPR037999,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,"Alpha-2-macroglobulin RAP, domain 3"
IPR038001,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,"Alpha-2-macroglobulin RAP, domain 2"
IPR038003,30,LRPAP1,0.0018058690744920992,inf,1,1,4,2215,Alpha-2-macroglobulin receptor-associated protein
IPR046350,30,CSTA,0.0018058690744920992,inf,1,1,4,2215,Cystatin superfamily
IPR021786,45,CDC5L,0.0018058690744920992,inf,1,1,4,2215,"Pre-mRNA splicing factor component Cdc5p/Cef1, C-terminal"
IPR034900,45,LARP4B,0.0018058690744920992,inf,1,1,4,2215,"LARP5, RNA recognition motif"
IPR047240,45,CDC5L,0.0018058690744920992,inf,1,1,4,2215,"Pre-mRNA splicing factor component CDC5L/Cef1, second SANT/myb-like domain"
IPR047242,45,CDC5L,0.0018058690744920992,inf,1,1,4,2215,Pre-mRNA splicing factor component CDC5L/Cef1
IPR029339,52,FAM219B,0.0018058690744920992,inf,1,1,4,2215,Protein FAM219
IPR000682,55,PCMT1,0.0018058690744920992,inf,1,1,4,2215,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
IPR003117,55,PRKAR2A,0.0018058690744920992,inf,1,1,4,2215,"cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain"
IPR007583,55,GORASP2,0.0018058690744920992,inf,1,1,4,2215,GRASP55/65
IPR012198,55,PRKAR2A,0.0018058690744920992,inf,1,1,4,2215,cAMP-dependent protein kinase regulatory subunit
IPR018488,55,PRKAR2A,0.0018058690744920992,inf,1,1,4,2215,"Cyclic nucleotide-binding, conserved site"
IPR024958,55,GORASP2,0.0018058690744920992,inf,1,1,4,2215,GRASP-type PDZ domain
IPR003093,172,BCL2L1,0.0018058690744920992,inf,1,1,4,2215,"Apoptosis regulator, Bcl-2 protein, BH4"
IPR004725,172,BCL2L1,0.0018058690744920992,inf,1,1,4,2215,"Apoptosis regulator, Bcl-2/ BclX"
